pid,name,pagerank_score
19/2969-1,Jindong Wang 0001,0.00015993540338472145
65/657,Hengjie Song,0.0001598800935725035
16/6654,F. Richard Yu,0.00015978222198839663
05/3403-8,Xin Zhou 0008,0.00015963383420524048
64/5725-16,Long Chen 0016,0.0001596052088391179
169/7255,Yukun Ma,0.00015932371201374856
49/5139,Vijay Ramaseshan Chandrasekhar,0.0001589052829331523
20/6179-1,Kui Ren 0001,0.00015881399713742281
g/WenGao,Wen Gao 0001,0.00015680777056048973
73/1778,Choong Seon Hong,0.00015667744673436424
97/1049,Michael Lees,0.00015659871405607537
06/3071-1,Xiaokang Yang 0001,0.0001565423827233507
191/8896,Ziyao Liu,0.0001565179403686041
202/8872-1,Anran Li 0001,0.00015646219967694691
252/1240,Wanli Ni,0.0001561599741290776
207/8653,Shangqing Liu,0.00015598986936233702
184/2181,Ranjan Satapathy,0.00015568080748915166
31/3668-1,Geng Sun 0001,0.00015565004947276875
68/10002,Fusang Zhang,0.00015522614519291645
27/2376,Edwin Hsing-Mean Sha,0.00015487423466486452
31/578,Yan-Wu Wang,0.00015463297463601716
75/1683-2,Gang Yu 0002,0.00015444302436055926
77/2428-3,Ping Zhang 0003,0.00015407162344064021
77/2970-1,Xin Cao 0001,0.00015399831314023358
54/4989-2,Ping Luo 0002,0.0001539088215156455
67/4236,Jinqiao Wang,0.00015359980731009448
127/6132,Qianru Sun,0.00015353571279306657
72/8614,Yingbo Zhou,0.0001532259001600078
91/6236-1,Xiaogang Wang 0001,0.00015295958220108252
y/XifengYan,Xifeng Yan,0.00015282313218653807
33/1678,Geguang Pu,0.0001527403427834379
29/3081,Fan Yang,0.00015188671868299935
64/6025-190,Wei Li 0190,0.00015179564232793857
20/8038-2,Yixin Cao 0002,0.00015179344340565182
p/JianPei,Jian Pei 0001,0.00015175112473078613
205/2918,Tianyue Zheng,0.0001516999874836753
97/3742,Guangming Shi,0.0001516695711245332
47/8889-1,Thomas Laurent 0001,0.0001515310428825759
