pid,name,weighted_degree
180/5537,Chien-Sheng Wu,172
129/1217,Semih Yavuz,172
124/0310,Chunrong Fang,172
153/2475,Prasanna Ravi,171
157/2088,Jiaze Li,171
40/7018-5,Yuan Zhou 0005,171
50/8499-1,Haoyu Wang 0001,170
320/3691,Fangyuan Kong,169
321/1022,Haotian Fan,169
17/11453,Yifang Xu,169
32/749-1,Erli Zhang 0001,168
119/5942,Ming-Feng Ge,168
79/627-1,Hong Qin 0001,167
86/541-1,Zhenyu Chen 0001,167
27/9060-1,Lingfei Wu 0001,167
84/8411,Peilin Zhao,166
153/2952-2,Jiahui Li 0002,166
43/5957,Meng-Hiot Lim,166
83/5831,Liang Ma,166
323/7497,Cong-Duy Nguyen,166
35/1228,Masashi Sugiyama,165
52/6744,Shuigeng Zhou,165
84/10716,Guibing Guo,165
244/2493,Priya Kansal,165
195/2732,Chengwei Qin,164
14/8431,Haibo Zhou,164
119/0001,Xuanwu Yin,164
354/8493,Kunlong Zuo,164
t/ChewLimTan,Chew Lim Tan,164
173/5282,Rex Ying,163
45/5411,Nan Guan,163
35/203,Zhenjiang Li,163
72/7503-1,Shuai Yang 0001,163
78/1102-3,Shuo Yang 0003,163
z/XiaoqinZhang-2,Xiaoqin Zhang 0002,163
06/4612,Dion Hoe-Lian Goh,163
57/5656,Xiaojun Jia,162
91/6236-1,Xiaogang Wang 0001,162
160/3845,Anubhab Baksi,161
23/108-1,Jiang Liu 0001,161
32/10216,Guiyuan Jiang,161
74/7037-14,Liu Liu 0014,161
32/6230,Shengli Xie,160
181/2734-4,Feng Zhao 0004,160
197/4742,Xiangzhong Luo,160
215/5457,Dayan Guan,160
55/4292,Sreenatha G. Anavatti,160
69/6707,Tien Yin Wong,159
166/0029-2,Xuebo Liu 0002,159
m/StephenJMaybank,Stephen J. Maybank,159
94/4754,Tomi Kinnunen,158
74/3590,Tao Sun,158
59/983-1,Yixin Chen 0001,158
h/BingshengHe,Bingsheng He,157
24/3702,Fei Hou,157
04/6217,Huadong Ma,157
42/6896-1,Ting Su 0001,157
82/378-3,Ming Hu 0003,157
201/6624,Chunle Guo,157
49/5418,Xiaoli Tang,157
222/7868,Yuxuan Du,157
52/9457,Chenliang Li,156
90/343,Liang Pan,156
74/3128-3,Chong Zhang 0003,155
16/1234-1,Zhuo Zhang 0001,155
167/2089,Simeng Han,155
146/4832,Hao Kong,155
292/4088,Ruikang Xu,155
120/7554,Zhipeng Luo,155
268/6752,Daxuan Ren,154
144/7479,Sai-Kit Yeung,154
54/6561,Zhibo Chen 0001,154
276/3246,Jingwen Hou,154
40/5402,Siwei Ma,154
81/2641,A. Benjamin Premkumar,153
92/2954-8,Feng Li 0008,153
327/3311,Zhezhu Jin,153
22/111,David Sanán,152
50/2484-59,Lei Yang 0059,151
96/2615-6,Ye Liu 0006,151
j/YaochuJin,Yaochu Jin,151
12/8442,Xiangyu Kong,151
26/3367-1,Gang Niu 0001,150
207/1901,Jianqiang Huang,150
01/4449-1,Zhiguo Cao 0001,150
01/2960,Xiaobing Wang,150
73/7877,Huan Zheng,150
312/3893,Yangcheng Gao,150
231/1744,Jiahuan Ren,150
242/2724,Tuan-Anh Vu,150
14/6306,Rainer Leupers,149
40/3865,Chuanchu Wang,149
35/547,Chih-Chung Hsu,149
21/8587-2,Chen Gong 0002,149
78/4381,Jenq-Neng Hwang,149
191/8896,Ziyao Liu,148
46/1165,Haijun Wang,148
280/2872,Haobo Yuan,148
67/8628-1,Liming Jiang 0001,148
m/SanjayKumarMadria,Sanjay Kumar Madria,148
24/4470,Yang Song,148
08/2489-1,Xiaohong Li 0001,147
75/3158-6,Zhe Wang 0006,147
01/2775,Lei Yu,147
74/1932,Yue Liu,146
68/6443,Cheng Luo,146
29/8716,Kai Feng,146
288/0985,Kaiwen Cui,146
97/1049,Michael Lees,145
16/3309,Kaixin Xu,145
205/8767,Siyuan Liang,145
64/5725-16,Long Chen 0016,145
s/DXSong,Dawn Song,145
122/5343,Chenghui Peng,144
t/KayChenTan,Kay Chen Tan,144
20/4396-1,Jiang Xu 0001,144
125/6699,Zhengyu Lin,144
83/5342-5,Min Zhang 0005,143
376/5887,Linhan Cao,143
166/3228,Qiubo Chen,143
43/3563-1,Xueqian Wang 0001,143
41/3281,Dongjin Song,143
284/3037,Benjamin Kiefer,143
17/5013,Janez Pers,143
298/8098,Lojze Zust,143
87/8843,Fabio Poiesi,143
228/1838,Fabio Augusto de Alcantara Andrade,143
53/5306,Alexandre Bernardino,143
127/0448,Matthew Dawkins,143
11/8636,Jenni Raitoharju,143
334/4434,Yitong Quan,143
334/4511,Adem Atmaca,143
295/8768,Timon Höfer,143
180/3659,Lars Sommer,143
214/9422,Raphael Spraul,143
327/3298,Hangyue Zhao,143
