pid,name,pagerank_score
145/1096,Bohan Zhuang,0.0002828998362270226
85/6463-1,Bo Ai 0001,0.0002823001142785085
176/8839,Yonghui Xu,0.00027861156117362483
52/9457,Chenliang Li,0.0002782499784627545
123/5110,Joey Tianyi Zhou,0.00027821263124180206
92/2954-8,Feng Li 0008,0.0002775621684545844
31/3668-1,Geng Sun 0001,0.00027472271558149014
137/8830,Tianlin Li,0.00027309570882194304
88/6731-1,Jie Lin 0001,0.00027222857478168325
12/4846,Liangpei Zhang 0001,0.00027220712000665593
178/8725,Baosheng Yu,0.000271079944199154
150/9712,Qingqing Wu 0001,0.0002702003514118034
45/5411,Nan Guan,0.00026870951745885626
14/6306,Rainer Leupers,0.00026751580486430044
76/4975,Abbas Jamalipour,0.00026712697116749166
13/9079-1,Ke Gu 0001,0.0002668076173146013
50/5489,Wen Song,0.0002667037043670227
122/1682,Juhua Liu,0.000266122183384805
127/6132,Qianru Sun,0.0002659908042304191
10/4661-12,Wei Zhang 0012,0.0002648225277457511
134/8681,Guozhu Meng,0.00026414399467334813
63/8217-1,Yunhe Wang 0001,0.0002625894305799426
95/6812,Zengxiang Li,0.0002619724178886886
02/2515,Zhongkang Lu,0.000260250690126089
51/3710-165,Yang Liu 0165,0.0002600447589811029
200/7275,Cen Zhang,0.000260000258822666
43/7400,Yufei Xu,0.0002578809875646544
02/7781-1,Shanshan Zhao 0001,0.0002576960607368465
16/6533,Yiyu Cai,0.00025694114821208264
281/8186,Yingchen Yu,0.0002560396039828549
84/10716,Guibing Guo,0.0002556145616492312
139/6983,Xiongkuo Min,0.00025543686472405874
55/4292,Sreenatha G. Anavatti,0.00025539774984596053
15/1123,Mohsen Guizani,0.00025370137163572274
40/3865,Chuanchu Wang,0.0002534531244848619
61/9197,Bihuan Chen 0001,0.00025262335877265785
48/9230,Chongjia Ni,0.0002521581651653064
58/9145-1,Shiqi Wang 0001,0.0002504351615925539
01/9308,Suranga Nanayakkara,0.0002501429864051762
79/627-1,Hong Qin 0001,0.00024873672607436795
84/8411,Peilin Zhao,0.00024855955156467417
198/2537,Chaofeng Chen,0.00024753299941649006
42/3332,Junsong Yuan 0001,0.00024744822760831565
33/1678,Geguang Pu,0.0002470859405241282
331/2274,Yuekun Dai,0.00024631741988520123
23/108-1,Jiang Liu 0001,0.0002449649384899331
95/1161-1,Kun Zhu 0001,0.00024462875836010485
94/190-2,Jie Zheng 0002,0.00024461249457473187
195/8988,Chuanxia Zheng,0.00024452706130383237
47/8889-1,Thomas Laurent 0001,0.00024385626488617897
40/7018-5,Yuan Zhou 0005,0.00024220163798675023
181/2839-26,Kai Chen 0026,0.00024162895432215586
02/5336,Gerd Ascheid,0.00024119902835389732
15/1777-2,Di Liu 0002,0.00023934142218026745
16/1234-1,Zhuo Zhang 0001,0.00023860009314587827
68/6526,Iti Chaturvedi,0.0002372553554578632
86/2624,Long Ye,0.0002369892882963354
89/3076,Chi-Hung Chi,0.00023633909763174502
80/1737,Bertil Schmidt,0.0002354455018268342
t/JeanPhilippeThiran,Jean-Philippe Thiran,0.00023407655142412048
n/GeokSeeNg,Geok See Ng,0.0002336922229296408
73/7055,Yinxing Xue,0.00023352691467058104
05/3403-8,Xin Zhou 0008,0.0002319993945023576
207/8653,Shangqing Liu,0.0002316932077391578
54/4989-2,Ping Luo 0002,0.00023097908273066512
149/8306,Zhiwei Zeng,0.000230858732980619
215/3264,Qingpeng Zhu,0.00023053674767221295
73/9801,Kok Soon Phua,0.00023042891614748066
12/1367,Gabriel Kreiman,0.00022912634367145142
191/8896,Ziyao Liu,0.00022897232071574837
69/6707,Tien Yin Wong,0.00022858547427761637
92/6630,Leida Li,0.0002278495424454583
183/2642,Weisong Sun,0.00022708081717187566
23/1818,Zheng-Jun Zha,0.0002265553735440902
230/1216,Henghui Ding,0.0002260274194896489
169/7255,Yukun Ma,0.00022511311385160638
o/EePingOng,Ee Ping Ong,0.00022509826235157188
35/4372,Subhamoy Maitra,0.00022499653136835593
97/1049,Michael Lees,0.0002249160978579205
55/3346,Christian Theobalt,0.00022429683923501812
24/3702,Fei Hou,0.00022427996516520242
29/5255-3,Thong Nguyen 0003,0.00022427856059726732
234/8028,Xuansong Xie,0.00022308153325170814
10/3849,Budhitama Subagdja,0.00022289876302316323
06/4612,Dion Hoe-Lian Goh,0.00022243077598384998
38/803,Chi-Wing Fu,0.0002222768278659473
84/8761,Nancy F. Chen,0.00022218334696236518
31/578,Yan-Wu Wang,0.00022206432453017057
74/7037-14,Liu Liu 0014,0.0002219037507390211
l/XiangYangLi,Xiang-Yang Li 0001,0.00022052339601859178
26/4850,Wen-Jing Hsu,0.00021912126516182876
16/1278-5,Chao Dong 0005,0.00021899649550699907
272/6439,Qihuang Zhong,0.0002188329548890858
58/7646,Alok Prakash,0.000218174785089241
q/YuQiao1,Yu Qiao 0001,0.00021810567473538376
50/8499-1,Haoyu Wang 0001,0.00021796470360206394
28/7717,Yibo Yang,0.00021784594067695797
23/8208-1,Jiayi Zhang 0001,0.00021736725625128562
192/6758,Chunyi Li,0.0002173424932576264
68/10002,Fusang Zhang,0.0002172976479442894
266/7958,Jer Shyuan Ng,0.000216994893339343
160/7918,Debjyoti Bhattacharjee,0.00021694914672355133
18/1099,Xinghua Qu,0.0002167381981419563
24/2670,Rick Siow Mong Goh,0.00021626365239704414
53/803,Linbo Luo,0.0002162456940627492
97/3742,Guangming Shi,0.0002156042055704744
42/8374,Qingyao Wu,0.00021436734218826262
58/6810-41,Li Wang 0041,0.0002140686753757816
205/7219,Aoran Xiao,0.00021404944426761408
53/1471,Puay Siew Tan,0.00021370467752663443
60/1416,Wei Zhong,0.00021312092234781186
a/KarlAberer,Karl Aberer,0.00021226049008205033
98/5684-3,Wenjie Zhang 0003,0.00021161690765519222
j/YaochuJin,Yaochu Jin,0.0002115279490053275
207/1901,Jianqiang Huang,0.0002115113498745091
89/2619,Reynold Cheng,0.0002112891694359135
