colab_id,author_pid,author_name,year,collaborator_pid,collaborator_name
152,163/6518,Alvin Chan,2021,163/6518,Alvin Chan
153,163/6518,Alvin Chan,2021,64/4136,Yew-Soon Ong
154,163/6518,Alvin Chan,2021,163/6518,Alvin Chan
155,163/6518,Alvin Chan,2021,64/4136,Yew-Soon Ong
156,163/6518,Alvin Chan,2021,163/6518,Alvin Chan
157,163/6518,Alvin Chan,2021,81/8329,Anh Tuan Luu
158,163/6518,Alvin Chan,2021,65/3225,Siu Cheung Hui
159,163/6518,Alvin Chan,2021,163/6518,Alvin Chan
160,163/6518,Alvin Chan,2021,163/6518,Alvin Chan
161,163/6518,Alvin Chan,2021,163/6518,Alvin Chan
162,163/6518,Alvin Chan,2021,81/8329,Anh Tuan Luu
163,163/6518,Alvin Chan,2021,65/3225,Siu Cheung Hui
164,163/6518,Alvin Chan,2021,163/6518,Alvin Chan
165,163/6518,Alvin Chan,2021,64/4136,Yew-Soon Ong
166,163/6518,Alvin Chan,2021,163/6518,Alvin Chan
167,163/6518,Alvin Chan,2021,163/6518,Alvin Chan
168,163/6518,Alvin Chan,2021,163/6518,Alvin Chan
169,163/6518,Alvin Chan,2020,163/6518,Alvin Chan
170,163/6518,Alvin Chan,2020,81/8329,Anh Tuan Luu
171,163/6518,Alvin Chan,2020,163/6518,Alvin Chan
172,163/6518,Alvin Chan,2020,64/4136,Yew-Soon Ong
173,163/6518,Alvin Chan,2020,163/6518,Alvin Chan
174,163/6518,Alvin Chan,2020,64/4136,Yew-Soon Ong
175,163/6518,Alvin Chan,2020,163/6518,Alvin Chan
176,163/6518,Alvin Chan,2020,64/4136,Yew-Soon Ong
177,163/6518,Alvin Chan,2020,163/6518,Alvin Chan
178,163/6518,Alvin Chan,2020,64/4136,Yew-Soon Ong
179,163/6518,Alvin Chan,2020,163/6518,Alvin Chan
180,163/6518,Alvin Chan,2020,163/6518,Alvin Chan
181,163/6518,Alvin Chan,2020,64/4136,Yew-Soon Ong
182,163/6518,Alvin Chan,2019,163/6518,Alvin Chan
183,163/6518,Alvin Chan,2019,64/4136,Yew-Soon Ong
184,163/6518,Alvin Chan,2019,163/6518,Alvin Chan
185,163/6518,Alvin Chan,2019,64/4136,Yew-Soon Ong
186,163/6518,Alvin Chan,2019,163/6518,Alvin Chan
187,163/6518,Alvin Chan,2019,64/4136,Yew-Soon Ong
188,163/6518,Alvin Chan,2018,163/6518,Alvin Chan
189,163/6518,Alvin Chan,2018,51/3710-3,Yang Liu 0003
190,163/6518,Alvin Chan,2018,64/4136,Yew-Soon Ong
191,163/6518,Alvin Chan,2015,163/6518,Alvin Chan
192,163/6518,Alvin Chan,2015,163/6518,Alvin Chan
193,99/4535,Anupam Chattopadhyay,2025,99/4535,Anupam Chattopadhyay
194,99/4535,Anupam Chattopadhyay,2025,99/4535,Anupam Chattopadhyay
195,99/4535,Anupam Chattopadhyay,2025,99/4535,Anupam Chattopadhyay
196,99/4535,Anupam Chattopadhyay,2025,99/4535,Anupam Chattopadhyay
197,99/4535,Anupam Chattopadhyay,2025,99/4535,Anupam Chattopadhyay
198,99/4535,Anupam Chattopadhyay,2025,99/4535,Anupam Chattopadhyay
199,99/4535,Anupam Chattopadhyay,2025,99/4535,Anupam Chattopadhyay
200,99/4535,Anupam Chattopadhyay,2024,99/4535,Anupam Chattopadhyay
201,99/4535,Anupam Chattopadhyay,2024,99/4535,Anupam Chattopadhyay
202,99/4535,Anupam Chattopadhyay,2024,99/4535,Anupam Chattopadhyay
203,99/4535,Anupam Chattopadhyay,2024,99/4535,Anupam Chattopadhyay
204,99/4535,Anupam Chattopadhyay,2024,99/4535,Anupam Chattopadhyay
205,99/4535,Anupam Chattopadhyay,2024,99/4535,Anupam Chattopadhyay
206,99/4535,Anupam Chattopadhyay,2024,99/4535,Anupam Chattopadhyay
207,99/4535,Anupam Chattopadhyay,2024,99/4535,Anupam Chattopadhyay
208,99/4535,Anupam Chattopadhyay,2024,99/4535,Anupam Chattopadhyay
209,99/4535,Anupam Chattopadhyay,2024,76/440,Dusit Niyato
210,99/4535,Anupam Chattopadhyay,2024,99/4535,Anupam Chattopadhyay
211,99/4535,Anupam Chattopadhyay,2024,99/4535,Anupam Chattopadhyay
212,99/4535,Anupam Chattopadhyay,2024,80/7421,Erik Cambria
213,99/4535,Anupam Chattopadhyay,2024,99/4535,Anupam Chattopadhyay
214,99/4535,Anupam Chattopadhyay,2024,99/4535,Anupam Chattopadhyay
215,99/4535,Anupam Chattopadhyay,2024,99/4535,Anupam Chattopadhyay
216,99/4535,Anupam Chattopadhyay,2024,99/4535,Anupam Chattopadhyay
217,99/4535,Anupam Chattopadhyay,2024,99/4535,Anupam Chattopadhyay
218,99/4535,Anupam Chattopadhyay,2024,99/4535,Anupam Chattopadhyay
219,99/4535,Anupam Chattopadhyay,2024,99/4535,Anupam Chattopadhyay
220,99/4535,Anupam Chattopadhyay,2024,99/4535,Anupam Chattopadhyay
221,99/4535,Anupam Chattopadhyay,2024,99/4535,Anupam Chattopadhyay
222,99/4535,Anupam Chattopadhyay,2024,99/4535,Anupam Chattopadhyay
223,99/4535,Anupam Chattopadhyay,2024,99/4535,Anupam Chattopadhyay
224,99/4535,Anupam Chattopadhyay,2024,99/4535,Anupam Chattopadhyay
225,99/4535,Anupam Chattopadhyay,2024,99/4535,Anupam Chattopadhyay
226,99/4535,Anupam Chattopadhyay,2024,99/4535,Anupam Chattopadhyay
227,99/4535,Anupam Chattopadhyay,2024,99/4535,Anupam Chattopadhyay
228,99/4535,Anupam Chattopadhyay,2024,99/4535,Anupam Chattopadhyay
229,99/4535,Anupam Chattopadhyay,2024,99/4535,Anupam Chattopadhyay
230,99/4535,Anupam Chattopadhyay,2024,99/4535,Anupam Chattopadhyay
231,99/4535,Anupam Chattopadhyay,2024,99/4535,Anupam Chattopadhyay
232,99/4535,Anupam Chattopadhyay,2024,99/4535,Anupam Chattopadhyay
233,99/4535,Anupam Chattopadhyay,2024,99/4535,Anupam Chattopadhyay
234,99/4535,Anupam Chattopadhyay,2024,99/4535,Anupam Chattopadhyay
235,99/4535,Anupam Chattopadhyay,2024,99/4535,Anupam Chattopadhyay
236,99/4535,Anupam Chattopadhyay,2024,99/4535,Anupam Chattopadhyay
237,99/4535,Anupam Chattopadhyay,2024,99/4535,Anupam Chattopadhyay
238,99/4535,Anupam Chattopadhyay,2024,99/4535,Anupam Chattopadhyay
239,99/4535,Anupam Chattopadhyay,2024,99/4535,Anupam Chattopadhyay
240,99/4535,Anupam Chattopadhyay,2024,99/4535,Anupam Chattopadhyay
241,99/4535,Anupam Chattopadhyay,2024,99/4535,Anupam Chattopadhyay
242,99/4535,Anupam Chattopadhyay,2024,99/4535,Anupam Chattopadhyay
243,99/4535,Anupam Chattopadhyay,2024,99/4535,Anupam Chattopadhyay
244,99/4535,Anupam Chattopadhyay,2024,99/4535,Anupam Chattopadhyay
245,99/4535,Anupam Chattopadhyay,2024,99/4535,Anupam Chattopadhyay
246,99/4535,Anupam Chattopadhyay,2024,99/4535,Anupam Chattopadhyay
247,99/4535,Anupam Chattopadhyay,2023,99/4535,Anupam Chattopadhyay
248,99/4535,Anupam Chattopadhyay,2023,99/4535,Anupam Chattopadhyay
249,99/4535,Anupam Chattopadhyay,2023,99/4535,Anupam Chattopadhyay
250,99/4535,Anupam Chattopadhyay,2023,99/4535,Anupam Chattopadhyay
251,99/4535,Anupam Chattopadhyay,2023,99/4535,Anupam Chattopadhyay
252,99/4535,Anupam Chattopadhyay,2023,99/4535,Anupam Chattopadhyay
253,99/4535,Anupam Chattopadhyay,2023,99/4535,Anupam Chattopadhyay
254,99/4535,Anupam Chattopadhyay,2023,99/4535,Anupam Chattopadhyay
255,99/4535,Anupam Chattopadhyay,2023,99/4535,Anupam Chattopadhyay
256,99/4535,Anupam Chattopadhyay,2023,99/4535,Anupam Chattopadhyay
257,99/4535,Anupam Chattopadhyay,2023,99/4535,Anupam Chattopadhyay
258,99/4535,Anupam Chattopadhyay,2023,10/1993,Kwok-Yan Lam
259,99/4535,Anupam Chattopadhyay,2023,99/4535,Anupam Chattopadhyay
260,99/4535,Anupam Chattopadhyay,2023,99/4535,Anupam Chattopadhyay
261,99/4535,Anupam Chattopadhyay,2023,99/4535,Anupam Chattopadhyay
262,99/4535,Anupam Chattopadhyay,2023,99/4535,Anupam Chattopadhyay
263,99/4535,Anupam Chattopadhyay,2023,99/4535,Anupam Chattopadhyay
264,99/4535,Anupam Chattopadhyay,2023,99/4535,Anupam Chattopadhyay
265,99/4535,Anupam Chattopadhyay,2023,99/4535,Anupam Chattopadhyay
266,99/4535,Anupam Chattopadhyay,2023,99/4535,Anupam Chattopadhyay
267,99/4535,Anupam Chattopadhyay,2023,99/4535,Anupam Chattopadhyay
268,99/4535,Anupam Chattopadhyay,2023,99/4535,Anupam Chattopadhyay
269,99/4535,Anupam Chattopadhyay,2023,99/4535,Anupam Chattopadhyay
270,99/4535,Anupam Chattopadhyay,2023,99/4535,Anupam Chattopadhyay
271,99/4535,Anupam Chattopadhyay,2023,99/4535,Anupam Chattopadhyay
272,99/4535,Anupam Chattopadhyay,2022,99/4535,Anupam Chattopadhyay
273,99/4535,Anupam Chattopadhyay,2022,99/4535,Anupam Chattopadhyay
274,99/4535,Anupam Chattopadhyay,2022,99/4535,Anupam Chattopadhyay
275,99/4535,Anupam Chattopadhyay,2022,99/4535,Anupam Chattopadhyay
276,99/4535,Anupam Chattopadhyay,2022,99/4535,Anupam Chattopadhyay
277,99/4535,Anupam Chattopadhyay,2022,99/4535,Anupam Chattopadhyay
278,99/4535,Anupam Chattopadhyay,2022,99/4535,Anupam Chattopadhyay
279,99/4535,Anupam Chattopadhyay,2022,99/4535,Anupam Chattopadhyay
280,99/4535,Anupam Chattopadhyay,2022,99/4535,Anupam Chattopadhyay
281,99/4535,Anupam Chattopadhyay,2022,99/4535,Anupam Chattopadhyay
282,99/4535,Anupam Chattopadhyay,2022,99/4535,Anupam Chattopadhyay
283,99/4535,Anupam Chattopadhyay,2022,99/4535,Anupam Chattopadhyay
284,99/4535,Anupam Chattopadhyay,2022,99/4535,Anupam Chattopadhyay
285,99/4535,Anupam Chattopadhyay,2022,99/4535,Anupam Chattopadhyay
286,99/4535,Anupam Chattopadhyay,2022,99/4535,Anupam Chattopadhyay
287,99/4535,Anupam Chattopadhyay,2022,99/4535,Anupam Chattopadhyay
288,99/4535,Anupam Chattopadhyay,2022,99/4535,Anupam Chattopadhyay
289,99/4535,Anupam Chattopadhyay,2022,99/4535,Anupam Chattopadhyay
290,99/4535,Anupam Chattopadhyay,2022,99/4535,Anupam Chattopadhyay
291,99/4535,Anupam Chattopadhyay,2022,99/4535,Anupam Chattopadhyay
292,99/4535,Anupam Chattopadhyay,2022,99/4535,Anupam Chattopadhyay
293,99/4535,Anupam Chattopadhyay,2022,99/4535,Anupam Chattopadhyay
294,99/4535,Anupam Chattopadhyay,2022,99/4535,Anupam Chattopadhyay
295,99/4535,Anupam Chattopadhyay,2022,99/4535,Anupam Chattopadhyay
296,99/4535,Anupam Chattopadhyay,2021,99/4535,Anupam Chattopadhyay
297,99/4535,Anupam Chattopadhyay,2021,99/4535,Anupam Chattopadhyay
298,99/4535,Anupam Chattopadhyay,2021,99/4535,Anupam Chattopadhyay
299,99/4535,Anupam Chattopadhyay,2021,99/4535,Anupam Chattopadhyay
300,99/4535,Anupam Chattopadhyay,2021,10/1993,Kwok-Yan Lam
301,99/4535,Anupam Chattopadhyay,2021,99/4535,Anupam Chattopadhyay
302,99/4535,Anupam Chattopadhyay,2021,99/4535,Anupam Chattopadhyay
303,99/4535,Anupam Chattopadhyay,2021,99/4535,Anupam Chattopadhyay
