pid,name,pagerank_score
50/8731,Wayne Wu,0.0002899686215064696
52/9457,Chenliang Li,0.0002850450914286722
176/8839,Yonghui Xu,0.0002850424566715829
123/5110,Joey Tianyi Zhou,0.00028453902764213456
92/2954-8,Feng Li 0008,0.00028305055519645134
150/9712,Qingqing Wu 0001,0.000281452600640985
137/8830,Tianlin Li,0.00027973671529140086
31/3668-1,Geng Sun 0001,0.0002797350908955354
88/6731-1,Jie Lin 0001,0.0002785662676353314
12/4846,Liangpei Zhang 0001,0.00027849277736615634
76/4975,Abbas Jamalipour,0.0002781679796216199
178/8725,Baosheng Yu,0.000277199724538822
45/5411,Nan Guan,0.0002745316654393657
50/5489,Wen Song,0.0002737611127478106
14/6306,Rainer Leupers,0.00027351120413744733
13/9079-1,Ke Gu 0001,0.00027294760267648776
122/1682,Juhua Liu,0.00027224958852970063
127/6132,Qianru Sun,0.00027124118063137664
10/4661-12,Wei Zhang 0012,0.00027106818753566713
134/8681,Guozhu Meng,0.0002703606491081007
63/8217-1,Yunhe Wang 0001,0.0002683933800672471
51/3710-165,Yang Liu 0165,0.00026718382890907906
02/2515,Zhongkang Lu,0.00026649748084417435
200/7275,Cen Zhang,0.00026608557788152155
15/1123,Mohsen Guizani,0.0002643857947844959
02/7781-1,Shanshan Zhao 0001,0.0002636806672564338
43/7400,Yufei Xu,0.00026364682059609284
55/4292,Sreenatha G. Anavatti,0.00026305333699253047
16/6533,Yiyu Cai,0.00026267692960299456
84/10716,Guibing Guo,0.00026172679497232516
139/6983,Xiongkuo Min,0.0002610605991461022
95/6812,Zengxiang Li,0.00026089226307671843
281/8186,Yingchen Yu,0.0002603341260546823
40/3865,Chuanchu Wang,0.0002594086149625903
61/9197,Bihuan Chen 0001,0.00025847771289613965
48/9230,Chongjia Ni,0.0002572824581518947
58/9145-1,Shiqi Wang 0001,0.0002564680119831737
79/627-1,Hong Qin 0001,0.0002557052519341202
01/9308,Suranga Nanayakkara,0.00025566728195354005
42/3332,Junsong Yuan 0001,0.0002543413178167244
198/2537,Chaofeng Chen,0.00025327295089667425
331/2274,Yuekun Dai,0.0002518059805004106
95/1161-1,Kun Zhu 0001,0.0002511071897549434
23/108-1,Jiang Liu 0001,0.00025054111045772544
195/8988,Chuanxia Zheng,0.000250196617144044
47/8889-1,Thomas Laurent 0001,0.00024927545712410504
40/7018-5,Yuan Zhou 0005,0.0002475043699812103
181/2839-26,Kai Chen 0026,0.0002470849174590044
02/5336,Gerd Ascheid,0.00024661117503330815
33/1678,Geguang Pu,0.00024639093185473897
15/1777-2,Di Liu 0002,0.0002444151932518103
16/1234-1,Zhuo Zhang 0001,0.00024398558672694391
86/2624,Long Ye,0.00024349168049409394
68/6526,Iti Chaturvedi,0.00024289138324583385
80/1737,Bertil Schmidt,0.00024077612231765706
84/8411,Peilin Zhao,0.00024064913438543993
t/JeanPhilippeThiran,Jean-Philippe Thiran,0.0002392549109824506
73/7055,Yinxing Xue,0.00023899769823880558
n/GeokSeeNg,Geok See Ng,0.0002389778480292243
05/3403-8,Xin Zhou 0008,0.00023877360335727008
207/8653,Shangqing Liu,0.0002371980136495854
149/8306,Zhiwei Zeng,0.00023630059930424663
54/4989-2,Ping Luo 0002,0.00023624485019972443
73/9801,Kok Soon Phua,0.00023581881211083181
215/3264,Qingpeng Zhu,0.00023568559462665948
12/1367,Gabriel Kreiman,0.00023418695963982184
69/6707,Tien Yin Wong,0.00023389066427846727
92/6630,Leida Li,0.00023313231492301973
183/2642,Weisong Sun,0.00023247025558710335
23/1818,Zheng-Jun Zha,0.00023135873530156167
35/4372,Subhamoy Maitra,0.00023125009595042795
230/1216,Henghui Ding,0.0002312155939890182
24/3702,Fei Hou,0.0002305472133913135
89/3076,Chi-Hung Chi,0.00023052650991337476
o/EePingOng,Ee Ping Ong,0.0002304328276806309
97/1049,Michael Lees,0.00023032486664235373
169/7255,Yukun Ma,0.0002298417683621058
29/5255-3,Thong Nguyen 0003,0.00022934647370609527
55/3346,Christian Theobalt,0.00022895857256145395
23/8208-1,Jiayi Zhang 0001,0.00022895303219144968
191/8896,Ziyao Liu,0.00022806049172701244
10/3849,Budhitama Subagdja,0.0002278472888870945
234/8028,Xuansong Xie,0.00022754194365770013
38/803,Chi-Wing Fu,0.0002275377442356059
31/578,Yan-Wu Wang,0.00022750980531378455
84/8761,Nancy F. Chen,0.00022710903654597742
74/7037-14,Liu Liu 0014,0.00022697824641896818
94/190-2,Jie Zheng 0002,0.00022635063966214457
06/4612,Dion Hoe-Lian Goh,0.00022634648249780686
l/XiangYangLi,Xiang-Yang Li 0001,0.00022548982477609762
26/4850,Wen-Jing Hsu,0.0002242410631909333
16/1278-5,Chao Dong 0005,0.000223891080407187
50/8499-1,Haoyu Wang 0001,0.00022386978146179064
272/6439,Qihuang Zhong,0.00022379861016740783
58/7646,Alok Prakash,0.0002232896495919763
266/7958,Jer Shyuan Ng,0.00022321554622962154
q/YuQiao1,Yu Qiao 0001,0.00022299263820605334
28/7717,Yibo Yang,0.0002226983038833044
192/6758,Chunyi Li,0.0002222882603795407
68/10002,Fusang Zhang,0.0002222120842455511
